elof_vals	prophi_vals	logprob	prob
1.75	198	-100.783377772338	1.69955477448693e-44
2	198	-98.1415243596086	2.38603892900432e-43
2.25	198	-97.529138251143	4.40183169053225e-43
2.5	198	-95.5767259870847	3.10138231033881e-42
2.75	198	-95.3827684563932	3.76521682545821e-42
3	198	-93.7005215057846	2.02479266360101e-41
3.25	198	-92.1723073657363	9.33416614193685e-41
3.5	198	-91.1886591746972	2.49613751980352e-40
3.75	198	-90.3764207848378	5.62366133525513e-40
4	198	-89.5278285720481	1.31388717778354e-39
4.25	198	-89.2443092879298	1.74457214911566e-39
4.5	198	-88.3376193055199	4.31975773683824e-39
4.75	198	-86.3105223358951	3.27956633225416e-38
5	198	-85.5014648147881	7.36521851594953e-38
5.25	198	-83.9537514565315	3.46217493060417e-37
5.5	198	-83.5474968498856	5.19736408790078e-37
5.75	198	-82.3964015286644	1.64322671688947e-36
6	198	-81.6097458589469	3.60859135144718e-36
6.25	198	-80.526369031547	1.06620884719164e-35
6.5	198	-79.8843278679875	2.02617623112488e-35
6.75	198	-78.8119051358901	5.92140125224387e-35
7	198	-78.5361996238659	7.80120829197356e-35
7.25	198	-77.1850006075222	3.01286831708282e-34
7.5	198	-76.0076099214029	9.77944995255132e-34
7.75	198	-75.7568606409096	1.25664745879172e-33
8	198	-75.4392340837234	1.72646158102382e-33
8.25	198	-74.2839416011068	5.48143247691023e-33
8.5	198	-73.7048686571521	9.78097734080487e-33
8.75	198	-72.1731152034048	4.5249556337364e-32
9	198	-71.4341082228518	9.474602077203e-32
9.25	198	-71.1022063774777	1.3203957540504e-31
9.5	198	-69.8721823667588	4.51748542011943e-31
9.75	198	-69.3662481946004	7.4924038569042e-31
10	198	-68.0947997942379	2.67180158440442e-30
10.25	198	-68.5268027333433	1.73455354319433e-30
10.5	198	-68.1566771806374	2.51148850985349e-30
10.75	198	-67.2862989353103	5.99696707850767e-30
11	198	-66.4314986205319	1.40982992464464e-29
11.25	198	-65.6269868234325	3.15182255180533e-29
11.5	198	-64.1168156561501	1.42698945335092e-28
11.75	198	-64.2944426618884	1.19475356450463e-28
12	198	-63.4153582400872	2.87779496500233e-28
12.25	198	-63.0118268296539	4.30835333461476e-28
12.5	198	-62.5881132146319	6.58154413778058e-28
12.75	198	-61.573671656396	1.81507330338862e-27
13	198	-60.56083085295	4.99764428239066e-27
13.25	198	-60.5477681626934	5.06335520802495e-27
13.5	198	-59.7034148782963	1.17797579743699e-26
13.75	198	-59.6751564076019	1.21173838482596e-26
14	198	-57.909853229424	7.08060381321254e-26
14.25	198	-57.0105182146645	1.74038979836589e-25
14.5	198	-57.1131935278378	1.57056243963611e-25
14.75	198	-57.5156240090571	1.05022383306019e-25
15	198	-57.6409866416872	9.26483245715229e-26
15.25	198	-55.06664440511	1.21579456589021e-24
15.5	198	-55.7815867521958	5.94791401667481e-25
15.75	198	-53.6872367513578	4.8298020360491e-24
16	198	-54.6847108585593	1.78127851494665e-24
16.25	198	-54.1387247414593	3.07503871184714e-24
16.5	198	-53.7907052850839	4.35505372565261e-24
16.75	198	-53.5029350133464	5.80725047362711e-24
17	198	-52.3131467951055	1.90848616448318e-23
17.25	198	-51.5335977991962	4.1614323905849e-23
17.5	198	-51.0568593151534	6.70328579743828e-23
17.75	198	-50.9918837943887	7.15329682238313e-23
18	198	-50.7279787876821	9.31362471502617e-23
18.25	198	-49.1585328379158	4.47425209411879e-22
18.5	198	-49.457806011658	3.31701749472051e-22
18.75	198	-49.3269676285032	3.78068200275305e-22
19	198	-49.5216848397947	3.11175602801129e-22
19.25	198	-48.3131365674459	1.04200879670312e-21
19.5	198	-48.7269298827754	6.88911178514499e-22
19.75	198	-48.2746737886929	1.0828680944782e-21
20	198	-47.0718414478425	3.60544608973335e-21
20.25	198	-46.7087057862384	5.18402181217491e-21
20.5	198	-46.2841947067699	7.92555418563388e-21
20.75	198	-46.2118026232614	8.52057928403219e-21
21	198	-45.9667829568822	1.08862877858905e-20
21.25	198	-45.3434971811531	2.03034286687026e-20
21.5	198	-44.7635889650805	3.62593756976542e-20
21.75	198	-45.3200711517164	2.07846721910002e-20
22	198	-44.9676014548237	2.95677871878052e-20
22.25	198	-44.1301594035988	6.83148761782011e-20
22.5	198	-44.4971332019172	4.73304452372795e-20
22.75	198	-44.0553183304087	7.36238205733523e-20
23	198	-43.4403158379224	1.36179125032382e-19
23.25	198	-42.7789405235213	2.63840942053577e-19
23.5	198	-42.9414575012355	2.24265238462329e-19
23.75	198	-42.1818893570188	4.7933397863304e-19
24	198	-42.1845386104346	4.78065782081616e-19
24.25	198	-42.273332215219	4.37446642192045e-19
24.5	198	-41.9117518594817	6.27996814117034e-19
24.75	198	-41.904982033628	6.3226266643174e-19
25	198	-41.1776759730014	1.30846631690005e-18
0	247	-103.278434879461	1.40199231237631e-45
0.25	247	-103.946720689401	7.18642326522996e-46
0.5	247	-104.077910430852	6.3028621948755e-46
0.75	247	-104.454237578451	4.32614436857323e-46
1	247	-105.532673880175	1.47143835847765e-46
1.25	247	-102.035007126664	4.86137858944353e-45
1.5	247	-100.064269758814	3.48850868123845e-44
1.75	247	-98.9292764687022	1.08532830886986e-43
2	247	-96.7633366848361	9.46709700658412e-43
2.25	247	-95.7220369990378	2.68193059570683e-42
2.5	247	-94.5833927581032	8.37441435618795e-42
2.75	247	-91.1471396937617	2.6019574470054e-40
3	247	-92.0249248138621	1.08164053868765e-40
3.25	247	-90.0066319169265	8.13985041113628e-40
3.5	247	-89.7417261574061	1.06087333448486e-39
3.75	247	-88.0779654192249	5.60048503589427e-39
4	247	-86.2399653940548	3.51932123383536e-38
4.25	247	-85.3175578374174	8.85228569554142e-38
4.5	247	-84.5291744465414	1.94735880255736e-37
4.75	247	-82.5570925379805	1.39929817842827e-36
5	247	-80.2334328444712	1.42910076430402e-35
5.25	247	-79.924014692157	1.94733848858797e-35
5.5	247	-79.0253641822591	4.78322053885604e-35
5.75	247	-78.8235493383393	5.85285113752937e-35
6	247	-76.7660987150986	4.58043717532715e-34
6.25	247	-75.7610552443624	1.25138736074736e-33
6.5	247	-74.7066178152196	3.59193212313426e-33
