gene_id	ensembl_gene_id	ensembl_gene_version	symbol	hgnc_id
ENSG00000151418.12	ENSG00000151418	12	ATP6V1G3	HGNC:18265
ENSG00000151414.15	ENSG00000151414	15	NEK7	HGNC:13386
ENSG00000143355.16	ENSG00000143355	16	LHX9	HGNC:14222
ENSG00000203724.11	ENSG00000203724	11	C1orf53	HGNC:30003
ENSG00000213047.13	ENSG00000213047	13	DENND1B	HGNC:28404
ENSG00000134376.17	ENSG00000134376	17	CRB1	HGNC:2343
ENSG00000177888.8	ENSG00000177888	8	ZBTB41	HGNC:24819
ENSG00000066279.19	ENSG00000066279	19	ASPM	HGNC:19048
ENSG00000143278.5	ENSG00000143278	5	F13B	HGNC:3534
ENSG00000134389.11	ENSG00000134389	11	CFHR5	HGNC:24668
ENSG00000080910.14	ENSG00000080910	14	CFHR2	HGNC:4890
ENSG00000134365.15	ENSG00000134365	15	CFHR4	HGNC:16979
ENSG00000244414.8	ENSG00000244414	8	CFHR1	HGNC:4888
ENSG00000116785.15	ENSG00000116785	15	CFHR3	HGNC:16980
ENSG00000000971.17	ENSG00000000971	17	CFH	HGNC:4883
ENSG00000162687.19	ENSG00000162687	19	KCNT2	HGNC:18866
ENSG00000134371.14	ENSG00000134371	14	CDC73	HGNC:16783
